old_file path,new_file path,commit SHA,parent commit SHA,new_file_MCC,test_name,test_id,issue_severity,issue_confidence,line_number,col_offset,end_col_offset,line_range,issue_cwe
setup.py,setup.py,7e104646a3984b1d151781553240937947189212,ed8acbccb8a1c0dda9cb30de325fd86fe47105ef,59,start_process_with_partial_path,B607,LOW,HIGH,162,8,77,[162],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,7e104646a3984b1d151781553240937947189212,ed8acbccb8a1c0dda9cb30de325fd86fe47105ef,59,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,162,8,77,[162],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,7e104646a3984b1d151781553240937947189212,ed8acbccb8a1c0dda9cb30de325fd86fe47105ef,59,start_process_with_partial_path,B607,LOW,HIGH,173,12,83,[173],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,7e104646a3984b1d151781553240937947189212,ed8acbccb8a1c0dda9cb30de325fd86fe47105ef,59,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,173,12,83,[173],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,7e104646a3984b1d151781553240937947189212,ed8acbccb8a1c0dda9cb30de325fd86fe47105ef,59,assert_used,B101,LOW,HIGH,277,8,74,[277],https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,7e104646a3984b1d151781553240937947189212,ed8acbccb8a1c0dda9cb30de325fd86fe47105ef,59,exec_used,B102,MEDIUM,HIGH,422,8,32,[422],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,7e104646a3984b1d151781553240937947189212,ed8acbccb8a1c0dda9cb30de325fd86fe47105ef,59,try_except_pass,B110,LOW,HIGH,432,4,12,"[432, 433]",https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,7e104646a3984b1d151781553240937947189212,ed8acbccb8a1c0dda9cb30de325fd86fe47105ef,59,try_except_pass,B110,LOW,HIGH,438,8,16,"[438, 439]",https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,285348bc19c7e31ec7974f9c8febbb6fbc12ef17,649cfc1d98a30690acfd10a47b11f1ac8da21b51,59,blacklist,B404,LOW,HIGH,6,0,17,[6],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,285348bc19c7e31ec7974f9c8febbb6fbc12ef17,649cfc1d98a30690acfd10a47b11f1ac8da21b51,59,start_process_with_partial_path,B607,LOW,HIGH,162,8,77,[162],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,285348bc19c7e31ec7974f9c8febbb6fbc12ef17,649cfc1d98a30690acfd10a47b11f1ac8da21b51,59,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,162,8,77,[162],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,285348bc19c7e31ec7974f9c8febbb6fbc12ef17,649cfc1d98a30690acfd10a47b11f1ac8da21b51,59,start_process_with_partial_path,B607,LOW,HIGH,173,12,83,[173],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,285348bc19c7e31ec7974f9c8febbb6fbc12ef17,649cfc1d98a30690acfd10a47b11f1ac8da21b51,59,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,173,12,83,[173],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,285348bc19c7e31ec7974f9c8febbb6fbc12ef17,649cfc1d98a30690acfd10a47b11f1ac8da21b51,59,assert_used,B101,LOW,HIGH,277,8,74,[277],https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,285348bc19c7e31ec7974f9c8febbb6fbc12ef17,649cfc1d98a30690acfd10a47b11f1ac8da21b51,59,exec_used,B102,MEDIUM,HIGH,422,8,32,[422],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,285348bc19c7e31ec7974f9c8febbb6fbc12ef17,649cfc1d98a30690acfd10a47b11f1ac8da21b51,59,try_except_pass,B110,LOW,HIGH,432,4,12,"[432, 433]",https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,285348bc19c7e31ec7974f9c8febbb6fbc12ef17,649cfc1d98a30690acfd10a47b11f1ac8da21b51,59,try_except_pass,B110,LOW,HIGH,438,8,16,"[438, 439]",https://cwe.mitre.org/data/definitions/703.html
appveyor.yml,appveyor.yml,ea7c4164a5b1ae316a219935b69f24947ff7fd9f,285348bc19c7e31ec7974f9c8febbb6fbc12ef17,,,,,,,,,,
appveyor.yml,appveyor.yml,23d3a09dae68d6f99615bcac8b6bca60489967f0,7e104646a3984b1d151781553240937947189212,,,,,,,,,,
appveyor.yml,appveyor.yml,86414ec4c72ee2d272e8d9a5a4500b869ddc6d9e,23d3a09dae68d6f99615bcac8b6bca60489967f0,,,,,,,,,,
appveyor.yml,appveyor.yml,603e2a329cd0cc1ba0171999475c97d9e4dfcf8e,ea7c4164a5b1ae316a219935b69f24947ff7fd9f,,,,,,,,,,
appveyor.yml,appveyor.yml,6f8c817a028264eed681ec8527f39bd276919324,86414ec4c72ee2d272e8d9a5a4500b869ddc6d9e,,,,,,,,,,
appveyor.yml,appveyor.yml,6b377bade9e8127188ab748c1b8ac14efa87374a,603e2a329cd0cc1ba0171999475c97d9e4dfcf8e,,,,,,,,,,
README.md,README.md,e98379369e0dcf3f4b636d6b42b5a0815182416c,6b377bade9e8127188ab748c1b8ac14efa87374a,,,,,,,,,,
README.md,README.md,98fa4b18da0813c1a0ce6ea224485c724e50b60b,6f8c817a028264eed681ec8527f39bd276919324,,,,,,,,,,
.travis.yml,.travis.yml,83ace3c0ce52bbc64292baaa7642ba99cdc7b221,98fa4b18da0813c1a0ce6ea224485c724e50b60b,,,,,,,,,,
pyproject.toml,pyproject.toml,58920f641df7a0433a9773011956a23b6eaabe4f,83ace3c0ce52bbc64292baaa7642ba99cdc7b221,,,,,,,,,,
setup.py,setup.py,0fc0d4b5c80035949f6f0265b8dd4a4de811a6dd,58920f641df7a0433a9773011956a23b6eaabe4f,61,blacklist,B404,LOW,HIGH,6,0,17,[6],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,0fc0d4b5c80035949f6f0265b8dd4a4de811a6dd,58920f641df7a0433a9773011956a23b6eaabe4f,61,start_process_with_partial_path,B607,LOW,HIGH,165,8,77,[165],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,0fc0d4b5c80035949f6f0265b8dd4a4de811a6dd,58920f641df7a0433a9773011956a23b6eaabe4f,61,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,165,8,77,[165],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,0fc0d4b5c80035949f6f0265b8dd4a4de811a6dd,58920f641df7a0433a9773011956a23b6eaabe4f,61,start_process_with_partial_path,B607,LOW,HIGH,176,12,83,[176],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,0fc0d4b5c80035949f6f0265b8dd4a4de811a6dd,58920f641df7a0433a9773011956a23b6eaabe4f,61,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,176,12,83,[176],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,0fc0d4b5c80035949f6f0265b8dd4a4de811a6dd,58920f641df7a0433a9773011956a23b6eaabe4f,61,assert_used,B101,LOW,HIGH,280,8,74,[280],https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,0fc0d4b5c80035949f6f0265b8dd4a4de811a6dd,58920f641df7a0433a9773011956a23b6eaabe4f,61,exec_used,B102,MEDIUM,HIGH,425,8,32,[425],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,0fc0d4b5c80035949f6f0265b8dd4a4de811a6dd,58920f641df7a0433a9773011956a23b6eaabe4f,61,try_except_pass,B110,LOW,HIGH,435,4,12,"[435, 436]",https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,0fc0d4b5c80035949f6f0265b8dd4a4de811a6dd,58920f641df7a0433a9773011956a23b6eaabe4f,61,try_except_pass,B110,LOW,HIGH,441,8,16,"[441, 442]",https://cwe.mitre.org/data/definitions/703.html
.travis.yml,.travis.yml,8cc5da85711a24a15715f93fb49ed532aef5a8e2,0fc0d4b5c80035949f6f0265b8dd4a4de811a6dd,,,,,,,,,,
